EFST_PROVOKE 挑衅
EFST_PRESERVE 自由保护
EFST_CHASEWALK2 STR增加
EFST_NOT_EXTREMITYFIST 无 阿修罗霸凰拳
EFST_CLAIRVOYANCE 侦测隐形
EFST_MOVESLOW_POTION 移动速度减缓
EFST_DOUBLECASTING 双倍投掷
EFST_GRAVITATION 重力原野
EFST_OVERTHRUSTMAX 凶砍最大值
EFST_LONGING 不要拘束我
EFST_HERMODE 海罗默德的手杖
EFST_TAROTCARD 命运的塔罗牌
EFST_HLIF_AVOID 轻捷移动
EFST_HFLI_FLEET 横越速度
EFST_HFLI_SPEED 紧急回避
EFST_HLIF_CHANGE 智力变换
EFST_HAMI_BLOODLUST 血的贪求
EFST_CR_SHRINK 退缩
EFST_WZ_SIGHTBLASTER 火狩芽
EFST_DC_WINKCHARM 眨眼之诱
EFST_RG_CCONFINE_M 紧密的约束
EFST_RG_CCONFINE_S 紧密的约束
EFST_DISABLEMOVE
EFST_GS_MADNESSCANCEL 疯狂凯斯乐
EFST_GS_GATLINGFEVER 格林狂热
EFST_EARTHSCROLL 快乐的休息
EFST_NJ_UTSUSEMI 金蝉脱壳
EFST_NJ_BUNSINJYUTSU 幻影分身
EFST_NJ_NEN 念
EFST_GS_ADJUSTMENT 终极闪躲
EFST_GS_ACCURACY 命中率递增
EFST_NJ_SUITON 水钝
EFST_PET 宠物
EFST_MENTAL 精神控制
EFST_EXPMEMORY
EFST_PERFORMANCE
EFST_GAIN 获得经验
EFST_GRIFFON 狮鹫兽搭乘中
EFST_DRIFT 漂流
EFST_WALLSHIFT 变形墙
EFST_REINCARNATION 重生
EFST_PATTACK 袭击
EFST_PSPEED 加速
EFST_PDEFENSE 防御
EFST_PCRITICAL 暴击
EFST_RANKING 排列
EFST_PTRIPLE 三倍
EFST_DENERGY
EFST_WAVE1
EFST_WAVE2
EFST_WAVE3
EFST_WAVE4
EFST_DAURA
EFST_DFREEZER
EFST_DPUNISH
EFST_DBARRIER
EFST_DWARNING
EFST_MOUSEWHEEL
EFST_DGAUGE
EFST_DACCEL
EFST_DBLOCK
EFST_FOOD_STR STR提升
EFST_FOOD_AGI AGI提升
EFST_FOOD_VIT VIT提升
EFST_FOOD_DEX DEX提升
EFST_FOOD_INT INT提升
EFST_FOOD_LUK LUK提升
EFST_FOOD_BASICAVOIDANCE 回避率提升
EFST_FOOD_BASICHIT 命中率提升
EFST_FOOD_CRITICALSUCCESSVALUE 必杀攻击率提升
EFST_CASH_PLUSEXP 经验值加倍
EFST_CASH_DEATHPENALTY 死亡时经验值不会损失
EFST_CASH_RECEIVEITEM 掉宝率倍增
EFST_CASH_BOSS_ALARM MVP雷达
EFST_DA_黑暗搜集者 能量
EFST_DA_FIRSTSLOT 黑暗搜集者 最初幻想
EFST_DA_HEADDEF 黑暗搜集者 头部防御
EFST_DA_SPACE 黑暗搜集者 暮光
EFST_DA_TRANSFORM 黑暗搜集者 变形
EFST_DA_ITEMREBUILD 黑暗搜集者 物品 重组
EFST_DA_ILLUSION 黑暗搜集者 幻觉
EFST_DA_DARKPOWER 黑暗搜集者 黑暗灵魂之力
EFST_DA_EARPLUG 黑暗搜集者 耳塞
EFST_DA_CONTRACT 黑暗搜集者 宝石 契约
EFST_DA_BLACK 黑暗搜集者 宝石 魔法
EFST_DA_MAGICCART 黑暗搜集者 魔法手推车
EFST_CRYSTAL 暴击
EFST_DA_REBUILD 黑暗搜集者 人体 重建
EFST_DA_EDARKNESS 黑暗搜集者 华丽金属 黑暗
EFST_DA_EGUARDIAN 黑暗搜集者 华丽金属 守卫
EFST_DA_TIMEOUT 黑暗搜集者 超时
EFST_FOOD_STR_CASH STR提升
EFST_FOOD_AGI_CASH AGI提升
EFST_FOOD_VIT_CASH VIT提升
EFST_FOOD_DEX_CASH DEX提升
EFST_FOOD_INT_CASH INI提升
EFST_FOOD_LUK_CASH LUK提升
EFST_MER_FLEE FLEE提升
EFST_MER_ATK ATK提升
EFST_MER_HP HP提升
EFST_MER_SP SP提升
EFST_MER_HIT HIT提升
EFST_SLOWCAST 咏唱减缓
EFST_MAGICMIRROR 魔术之镜
EFST_STONESKIN 钢筋铁骨
EFST_ANTIMAGIC 反魔法
EFST_CRITICALWOUND 致命伤口
EFST_NPC_DEFENDER 光之盾
EFST_NOACTION_WAIT
EFST_MOVHASTE_HORSE 督察凭证
EFST_PROTECT_DEF 物理防御药水
EFST_PROTECT_MDEF 魔法防御药水
EFST_HEALPLUS 恢复力提升药水
EFST_S_LIFEPOTION 小型生命水
EFST_L_LIFEPOTION 中型生命水
EFST_CRITICALPERCENT 研磨剂
EFST_PLUSAVOIDVALUE 幻影的酒杯
EFST_ATKER_ASPD
EFST_TARGET_ASPD 
EFST_ATKER_MOVESPEED
EFST_ATKER_BLOOD SP 消耗量减少药水
EFST_TARGET_BLOOD 异常抵抗药水
EFST_ARMOR_PROPERTY 属性变化卷轴
EFST_REUSE_LIMIT_A
EFST_HELLPOWER 地狱之权威
EFST_STEAMPACK
EFST_REUSE_LIMIT_B 物品冷却
EFST_REUSE_LIMIT_C 物品冷却
EFST_REUSE_LIMIT_D 物品冷却
EFST_REUSE_LIMIT_E 物品冷却
EFST_REUSE_LIMIT_F 物品冷却
EFST_INVINCIBLE
EFST_CASH_PLUSONLYJOBEXP Job经验增加1.5倍
EFST_PARTYFLEE 回避率增加
EFST_ANGEL_PROTECT
EFST_ENDURE_MDEF
EFST_ENCHANTBLADE 魔力剑
EFST_DEATHBOUND 死亡反弹
EFST_REFRESH 恢复
EFST_GIANTGROWTH 力量成长
EFST_STONEHARDSKIN 岩石皮肤
EFST_VITALITYACTIVATION 生命激化
EFST_FIGHTINGSPIRIT 提升斗志
EFST_ABUNDANCE 丰足
EFST_REUSE_MILLENNIUMSHIELD 千年神盾冷却
EFST_REUSE_CRUSHSTRIKE 重击强袭冷却
EFST_REUSE_REFRESH 恢复冷却
EFST_REUSE_STORMBLAST 风暴冲击冷却
EFST_VENOMIMPRESS 毒耐性弱化
EFST_EPICLESIS 圣灵降临祈祷
EFST_ORATIO 祈祷文
EFST_LAUDAAGNUS 羔羊歌颂
EFST_LAUDARAMUS 折枝赞颂
EFST_CLOAKINGEXCEED 伪装强化
EFST_HALLUCINATIONWALK 幻影步
EFST_HALLUCINATIONWALK_POSTDELAY 幻影步延迟
EFST_RENOVATIO 净化
EFST_WEAPONBLOCKING 武器抵御
EFST_WEAPONBLOCKING_POSTDELAY 武器抵御延迟
EFST_ROLLINGCUTTER 回旋刀刃
EFST_EXPIATIO 赎罪
EFST_POISONINGWEAPON 剧毒武器
EFST_TOXIN 麻醉之毒
EFST_PARALYSE 麻痹之毒
EFST_VENOMBLEED 衰弱之毒
EFST_MAGICMUSHROOM 狂笑之毒
EFST_DEATHHURT 污染之毒
EFST_PYREXIA 热病之毒
EFST_OBLIVIONCURSE 失忆之毒
EFST_LEECHESEND 吸血之毒
EFST_DUPLELIGHT 二道圣光
EFST_FROSTMISTY 结冰
EFST_FEARBREEZE 微风恐惧
EFST_ELECTRICSHOCKER 电击陷阱
EFST_MARSHOFABYSS 深渊沼地
EFST_RECOGNIZEDSPELL 魔法省悟
EFST_STASIS 魔力冻结
EFST_WUGRIDER 骑狼术
EFST_WUGDASH 疾狼术
EFST_WUGBITE 狼咬
EFST_CAMOUFLAGE 伪装战术
EFST_ACCELERATION 魔导机甲加速
EFST_HOVERING 悬停
EFST_SUMMON1 属性球
EFST_SUMMON2 属性球
EFST_SUMMON3 属性球
EFST_SUMMON4 属性球
EFST_SUMMON5 属性球
EFST_MVPCARD_TAOGUNKA 塔奥群卡卷轴
EFST_MVPCARD_MISTRESS 蜂后卷轴
EFST_MVPCARD_ORCHERO 兽人英雄卷轴
EFST_MVPCARD_ORCLORD 兽人酋长卷轴
EFST_OVERHEAT_LIMITPOINT 极限过热
EFST_OVERHEAT 过热
EFST_SHAPESHIFT 形态转换
EFST_INFRAREDSCAN 红外线扫瞄
EFST_MAGNETICFIELD 磁场
EFST_NEUTRALBARRIER 中性防护罩
EFST_NEUTRALBARRIER_MASTER 中性防护罩(施展)
EFST_STEALTHFIELD 隐形力场
EFST_STEALTHFIELD_MASTER 隐形力场(施展)
EFST_MANU_ATK 魔怒克的良机
EFST_MANU_DEF 魔怒克的意志
EFST_SPL_ATK 捕虫堇妖果酱
EFST_SPL_DEF 鲁修拉的蜜酱
EFST_REPRODUCE 繁殖
EFST_MANU_MATK 魔怒克的信念
EFST_SPL_MATK 独角飞马之泪
EFST_STR_SCROLL STR提升
EFST_INT_SCROLL INT提升
EFST_LG_REFLECTDAMAGE 反射伤害
EFST_FORCEOFVANGUARD 先锋部队
EFST_BUCHEDENOEL 圣诞节巧克力圈蛋糕
EFST_AUTOSHADOWSPELL 自动魅影念咒
EFST_SHADOWFORM 魅影形态
EFST_RAID 潜击
EFST_SHIELDSPELL_DEF 盾咒 - 防
EFST_SHIELDSPELL_MDEF 盾咒 - 魔
EFST_SHIELDSPELL_REF 盾咒 - 炼
EFST_BODYPAINT 人体彩绘
EFST_EXEEDBREAK 强化冲击
EFST_ADORAMUS 讴歌
EFST_PRESTIGE 威信
EFST_INVISIBILITY 透明术
EFST_DEADLYINFECT 致命感染
EFST_BANDING 聚集
EFST_EARTHDRIVE 大地毁灭
EFST_INSPIRATION 灵感
EFST_ENERVATION 面具-无力
EFST_GROOMY 面具-忧郁
EFST_RAISINGDRAGON 潜龙升天
EFST_IGNORANCE 面具-无知
EFST_LAZINESS 面具-懒散
EFST_LIGHTNINGWALK 闪电步
EFST_ACARAJE 阿卡拉杰油炸饼
EFST_UNLUCKY 面具-不幸
EFST_CURSEDCIRCLE_ATKER 咒缚阵_攻击
EFST_CURSEDCIRCLE_TARGET 咒缚阵_目标
EFST_WEAKNESS 面具-衰弱
EFST_CRESCENTELBOW 破碎柱
EFST_NOEQUIPACCESSARY 无装备配件
EFST_STRIPACCESSARY 卸除配件
EFST_MANHOLE 人孔
EFST_POPECOOKIE 教皇饼干
EFST_FALLENEMPIRE 大缠崩坠
EFST_GENTLETOUCH_ENERGYGAIN 点穴-救
EFST_GENTLETOUCH_CHANGE 点穴-反
EFST_GENTLETOUCH_REVITALIZE 点穴-活
EFST_BLOODYLUST 血腥欲望
EFST_SWING 摇摆舞
EFST_SYMPHONY_LOVE 恋人交响乐
EFST_PROPERTYWALK
EFST_SPELLFIST 魔力拳
EFST_NETHERWORLD 绝望之歌
EFST_SIREN 塞壬之音
EFST_DEEP_SLEEP 沉睡摇篮曲
EFST_SIRCLEOFNATURE 循环的大自然之音
EFST_COLD 液体冷却弹
EFST_GLOOMYDAY 羞怯一天的忧郁
EFST_SONG_OF_MANA 魔力之歌
EFST_CLOUD_KILL 云杀
EFST_DANCE_WITH_WUG 与狼共舞
EFST_RUSH_WINDMILL 朝风车突击
EFST_ECHOSONG 回音之歌
EFST_HARMONIZE 和声演奏
EFST_STRIKING 打击强化
EFST_WARMER 加热器
EFST_MOONLIT_SERENADE 月光小夜曲
EFST_SATURDAY_NIGHT_FEVER 狂欢周末夜
EFST_SITDOWN_FORCE
EFST_ANALYZE 解析
EFST_LERADS_DEW 雷拉多露水
EFST_MELODYOFSINK 消沉旋律
EFST_BEYOND_OF_WARCRY 战嚎的彼端
EFST_UNLIMITED_HUMMING_VOICE 无限哼唱声
EFST_SPELLBOOK1 第一魔法书
EFST_SPELLBOOK2 第二魔法书
EFST_SPELLBOOK3 第三魔法书
EFST_FREEZE_SP 魔法保存
EFST_GN_TRAINING_SWORD 单手剑使用熟练度
EFST_GN_REMODELING_CART 手推车改良
EFST_GN_CARTBOOST 手推车加速
EFST_FIXEDCASTINGTM_REDUCE
EFST_THORNS_TRAP 荆棘陷阱
EFST_BLOOD_SUCKER 吸血植物
EFST_SPORE_EXPLOSION 爆炸孢子
EFST_DEMONIC_FIRE 恶魔火焰
EFST_FIRE_EXPANSION_SMOKE_POWDER 火焰扩散 (烟幕弹)
EFST_FIRE_EXPANSION_TEAR_GAS 火焰扩散 (催泪瓦斯)
EFST_BLOCKING_PLAY
EFST_MANDRAGORA 曼陀罗魔花的尖叫
EFST_ACTIVATE
EFST_AB_SECRAMENT 圣典
EFST_ASSUMPTIO2 圣母之祈福二
EFST_TK_SEVENWIND 温暖的风
EFST_LIMIT_ODINS_RECALL 奥丁的召唤冷却
EFST_STOMACHACHE 腹痛
EFST_MYSTERIOUS_POWDER 神秘能量
EFST_MELON_BOMB 哈密瓜炸弹
EFST_BANANA_BOMB_SITDOWN_POSTDELAY
EFST_PROMOTE_HEALTH_RESERCH HP增加药水(大)
EFST_ENERGY_DRINK_RESERCH
EFST_EXTRACT_WHITE_POTION_Z
EFST_VITATA_500
EFST_EXTRACT_SALAMINE_JUICE 攻速增加浓缩汁
EFST_BOOST500
EFST_FULL_SWING_K
EFST_MANA_PLUS
EFST_MUSTLE_M
EFST_LIFE_FORCE_F
EFST_VACUUM_EXTREME 极限空虚
EFST_SAVAGE_STEAK 烤小野猪排
EFST_COCKTAIL_WARG_BLOOD 鸡尾酒狼血
EFST_MINOR_BBQ 米洛斯烧烤
EFST_SIROMA_ICE_TEA 小雪兽冰茶
EFST_DROCERA_HERB_STEAMED 捕虫草药草煎
EFST_PUTTI_TAILS_NOODLES 毕帝特龙尾面
EFST_BANANA_BOMB 香蕉炸弹
EFST_SUMMON_AGNI
EFST_SPELLBOOK4 第四魔法书
EFST_SPELLBOOK5 第五魔法书
EFST_SPELLBOOK6 第六魔法书
EFST_SPELLBOOK7 第七魔法书
EFST_ELEMENTAL_AGGRESSIVE
EFST_RETURN_TO_ELDICASTES 返回艾尔迪卡斯特
EFST_BANDING_DEFENCE
EFST_SKELSCROLL
EFST_DISTRUCTIONSCROLL
EFST_ROYALSCROLL
EFST_IMMUNITYSCROLL
EFST_MYSTICSCROLL
EFST_BATTLESCROLL
EFST_ARMORSCROLL
EFST_FREYJASCROLL
EFST_SOULSCROLL
EFST_CIRCLE_OF_FIRE 绝对零度
EFST_CIRCLE_OF_FIRE_OPTION
EFST_FIRE_CLOAK 急速降温
EFST_FIRE_CLOAK_OPTION
EFST_WATER_SCREEN 水之守护
EFST_WATER_SCREEN_OPTION
EFST_WATER_DROP 大豪雨
EFST_WATER_DROP_OPTION
EFST_WIND_STEP 风之闪现
EFST_WIND_STEP_OPTION
EFST_WIND_CURTAIN 风之魂
EFST_WIND_CURTAIN_OPTION
EFST_WATER_BARRIER 水之屏障
EFST_ZEPHYR 风之结界
EFST_SOLID_SKIN 皮肤固化
EFST_SOLID_SKIN_OPTION
EFST_STONE_SHIELD 岩石盾
EFST_STONE_SHIELD_OPTION
EFST_POWER_OF_GAIA 天神下凡
EFST_EL_WAIT
EFST_EL_PASSIVE
EFST_EL_DEFENSIVE
EFST_EL_OFFENSIVE
EFST_EL_COST
EFST_PYROTECHNIC 烈焰强化
EFST_PYROTECHNIC_OPTION
EFST_HEATER 急速升温
EFST_HEATER_OPTION
EFST_TROPIC 灼热地带
EFST_TROPIC_OPTION
EFST_AQUAPLAY 冰封领域
EFST_AQUAPLAY_OPTION
EFST_COOLER 急速降温
EFST_COOLER_OPTION
EFST_CHILLY_AIR 绝对零度
EFST_CHILLY_AIR_OPTION
EFST_GUST 雷电强化
EFST_GUST_OPTION
EFST_BLAST 风暴冲击
EFST_BLAST_OPTION
EFST_WILD_STORM 荒野风暴
EFST_WILD_STORM_OPTION
EFST_PETROLOGY 岩石领域
EFST_PETROLOGY_OPTION
EFST_CURSED_SOIL 诅咒之地
EFST_CURSED_SOIL_OPTION
EFST_UPHEAVAL 天崩地裂
EFST_UPHEAVAL_OPTION
EFST_TIDAL_WEAPON 海啸武器
EFST_TIDAL_WEAPON_OPTION
EFST_ROCK_CRUSHER 碎石
EFST_ROCK_CRUSHER_ATK 碎石~
EFST_FIRE_INSIGNIA 火之纹章
EFST_WATER_INSIGNIA 水之纹章
EFST_WIND_INSIGNIA 地之纹章
EFST_EARTH_INSIGNIA 风之纹章
EFST_EQUIPED_FLOOR
EFST_GUARDIAN_RECALL
EFST_MORA_BUFF
EFST_REUSE_LIMIT_G
EFST_REUSE_LIMIT_H
EFST_NEEDLE_OF_PARALYZE
EFST_PAIN_KILLER
EFST_G_LIFEPOTION
EFST_VITALIZE_POTION
EFST_LIGHT_OF_REGENE
EFST_OVERED_BOOST
EFST_SILENT_BREEZE
EFST_ODINS_POWER 奥丁能量
EFST_STYLE_CHANGE
EFST_SONIC_CLAW_POSTDELAY
EFST_SILVERVEIN_RUSH_POSTDELAY
EFST_MIDNIGHT_FRENZY_POSTDELAY
EFST_GOLDENE_FERSE
EFST_ANGRIFFS_MODUS
EFST_TINDER_BREAKER
EFST_TINDER_BREAKER_POSTDELAY
EFST_CBC
EFST_CBC_POSTDELAY
EFST_EQC
EFST_MAGMA_FLOW
EFST_GRANITIC_ARMOR
EFST_PYROCLASTIC
EFST_VOLCANIC_ASH
EFST_SPIRITS_SAVEINFO1
EFST_SPIRITS_SAVEINFO2
EFST_MAGIC_CANDY
EFST_MACRO 自动练功系统使用
EFST_MACRO_POSTDELAY 自动练功系统延迟
EFST_BEER_BOTTLE_CAP
EFST_OVERLAPEXPUP
EFST_PC_IZ_DUN05
EFST_CRUSHSTRIKE
EFST_MONSTER_TRANSFORM 变身怪物
EFST_SIT 坐下
EFST_ONAIR
EFST_MTF_ASPD
EFST_MTF_RANGEATK
EFST_MTF_MATK
EFST_MTF_MLEATKED
EFST_MTF_CRIDAMAGE
EFST_REUSE_LIMIT_MTF
EFST_MACRO_PERMIT
EFST_MACRO_PLAY
EFST_SKF_CAST 变动咏唱时间减少5%
EFST_SKF_ASPD ASPD增加3%
EFST_SKF_ATK ATK增加24点
EFST_SKF_MATK MATK增加24点
EFST_REWARD_PLUSONLYJOBEXP 职业经验值倍增5%

EFST_Cash_Mounts 商城坐骑搭乘中
EFST_SPECIALZONE_SA_VOLCANO 火山爆发
EFST_SPECIALZONE_SA_VIOLENTGALE 风元素领域
EFST_SPECIALZONE_SA_DELUGE 水元素领域


#####################################################


MAPPROPERTY_SIEGE 地图为城战
MAPPROPERTY_EVENTPVPZONE 地图为活动PVP区域
MAPPROPERTY_TELEPORT 地图为可瞬间移动
MAPPROPERTY_CALLMONSTER 地图为可召唤魔物
MAPPROPERTY_FREEPVPZONE 地图为自由PVP区域
MAPPROPERTY_PK 地图为PK
MAPPROPERTY_DENYSKILL 地图为禁止使用技能
MAPPROPERTY_DENYSKILLZONE 地图为禁止使用技能区域
MAPPROPERTY_PARTY 地图为队伍
MAPPROPERTY_GUILD 地图为公会
MAPPROPERTY_EXP 地图为可获得经验值
MAPPROPERTY_NOTREMEMBER 地图为可记忆
MAPPROPERTY_DISCONNECT_NOTREMEMBER 地图为禁止记忆
MAPPROPERTY_USE_SIMPLE_EFFECT 地图为使用简单效果显示
MAPPROPERTY_DISABLE_LOCKON 地图为禁用目标锁定
MAPPROPERTY_AGITZONE 地图为无法记忆
MAPPROPERTY_NO_CHATTING 地图为无法对话
MAPPROPERTY_COUNT_PK COUNT PK
MAPPROPERTY_HIDING_DAMAGE
MAPPROPERTY_DISABLE_KNOCKBACK
MAPPROPERTY_LONG_INSUPERABLE_TIME


MAPTYPE_ARENA 地图为竞技场模式
MAPTYPE_PORINGBATTLE 地图为波利战场模式
MAPTYPE_BATTLEFIELD 地图为战场模式
MAPTYPE_VILLAGE 地图为城镇模式
MAPTYPE_VILLAGE_IN 地图为城镇屋内模式
MAPTYPE_DUNGEON 地图为地下城模式
MAPTYPE_DUNGEON3 地图为地下城模式三
MAPTYPE_FIELD 地图为野外模式
MAPTYPE_DENYSKILL 地图为禁止使用技能模式
MAPTYPE_NOPENALTY_FREEPKZONE 地图为无规则自由PK模式
MAPTYPE_AGIT
MAPTYPE_AGIT_SIEGEV15 AGIT SIEGEV15


BODYSTATE_STONECURSE_ING 石化中
BODYSTATE_STONECURSE 石化
BODYSTATE_FREEZING 冰冻中
BODYSTATE_SLEEP 沉睡中
BODYSTATE_STUN 晕眩中
HEALTHSTATE_BLIND 黑暗中
HEALTHSTATE_CURSE 诅咒中
HEALTHSTATE_SILENCE 沉默中
HEALTHSTATE_POISON 中毒中
HEALTHSTATE_BLOODING 出血中
HEALTHSTATE_HEAVYPOISON 猛毒中
HEALTHSTATE_ANGELUS 天使之障壁
HEALTHSTATE_CONFUSION 迷惑中
BODYSTATE_BURNNING 燃烧
BODYSTATE_UNDEAD 不死

EFFECTSTATE_SIGHT 火狩
EFFECTSTATE_RUWACH 光猎
EFFECTSTATE_BURROW 隐藏
EFFECTSTATE_HIDING 伪装
EFFECTSTATE_FOOTPRINT 暗影追踪
EFFECTSTATE_BIRD 装备猎鹰
EFFECTSTATE_CHICKEN 骑乘大嘴鸟
